ClubName,ClubNameShort,CountryName,LeagueName,ClubFMId
CS Minaur Baia Mare,Minaur Baia Mare,Romania,Romanian Third League Group 5,57175414
CSM Pascani,,Romania,Romanian Third League Group 1,57049834
CSC Ghiroda si Giarmata Vii,CSC Ghiroda,Romania,Romanian Third League Group 4,57107762
ACS Flacara Horezu,Flacara Horezu,Romania,Romanian Third League Group 4,57065639
CSA Axiopolis Sport Cernavoda,Axiopolis Cernavoda,Romania,Romanian Third League Group 2,57061158
ACS Vedita Colonesti M.S.,Vedita Colonesti,Romania,Romanian Third League Group 3,57129123
AFC Odorheiu Secuiesc,Odorheiu Secuiesc,Romania,Romanian Third League Group 5,57062710
CS Hunedoara,,Romania,Romanian Third League Group 4,57153289
ACS Unirea Bascov,Unirea Bascov,Romania,Romanian Third League Group 3,57127415
CS Medgidia,,Romania,Romanian Third League Group 2,57174838
ACS SR Municipal Brasov,SR Brasov,Romania,Romanian Third League Group 3,57172393
ACS Sticla Ariesul Turda,Sticla Ariesul,Romania,Romanian Third League Group 5,57031221
AS FC Pucioasa,FC Pucioasa,Romania,Romanian Third League Group 3,57080814
AS Fortuna Becicherecu Mic,Fortuna Becicherecu Mic,Romania,Romanian Third League Group 4,57154460
FC Unirea Dej,Unirea Dej,Romania,Romanian Third League Group 5,7542454
SCM Zalau,,Romania,Romanian Third League Group 5,57207780
AFC Botosani II,Botosani II,Romania,Romanian Third League Group 1,57000095
CS Crisul Chisineu Cris,Crisul Chisineu Cris,Romania,Romanian Third League Group 4,57048447
FC Ozana Targu Neamt,Ozana Targu Neamt,Romania,Romanian Third League Group 1,57190089
ACS Somuz Falticeni,Somuz Falticeni,Romania,Romanian Third League Group 1,57121813
ACS Mostistea Ulmu,Mostistea Ulmu,Romania,Romanian Third League Group 2,57174375
CSC Sanmartin,,Romania,Romanian Third League Group 5,57069271
CS Sporting Rosiori 2008,Sporting Rosiori,Romania,Romanian Third League Group 3,57048718
CS Viitorul Daesti,Viitorul Daesti,Romania,Romanian Third League Group 4,57121993
CS Blejoi,,Romania,Romanian Third League Group 3,57080965
CS Viitorul Ianca,Viitorul Ianca,Romania,Romanian Third League Group 2,57048678
CSM Bacau,,Romania,Romanian Third League Group 1,57189775
ACS Universitatea Dunarea de Jos Galati,CS U Galati,Romania,Romanian Third League Group 1,57174956
CS Gilortul Targu Carbunesti,Gilortul Targu Carbunesti,Romania,Romanian Third League Group 4,7540072
CS Poseidon 2 Mai Limanu,Poseidon Limanu,Romania,Romanian Third League Group 2,57190300
ACS Tractorul Cetate,Tractorul Cetate,Romania,Romanian Third League Group 3,57142959
ACS Viitorul Selimbar,Viitorul Selimbar,Romania,Romanian Third League Group 5,57159498
ACS Husana Husi,Husana Husi,Romania,Romanian Third League Group 1,57174325
ACS Recolta Gheorghe Doja,Recolta Gheorghe Doja,Romania,Romanian Third League Group 2,57072054
Energia Negresti,,Romania,Romanian Fourth League Satu Mare,7542203
CSM Ramnicu Sarat,,Romania,Romanian Fourth League Buzau,7543265
CS Strehaia,,Romania,Romanian Fourth League Mehedinti,57065486
ACS Floresti,,Romania,Romanian Fourth League Cluj,57156430
Unirea 08 Tasnad,Unirea Tasnad,Romania,Romanian Fourth League Satu Mare,57068914
CSO Viitorul Liteni,Liteni,Romania,Romanian Fourth League Suceava,57061221
AFC Viitorul Albesti,Viitorul Albesti,Romania,Romanian Fourth League Botosani,57048644
Talna Orasu Nou,Orasu Nou,Romania,Romanian Fourth League Satu Mare,57068880
ACS Pescarusul Sarichioi Junior,Sarichioi,Romania,Romanian Fourth League Tulcea,57065631
CS Iernut,,Romania,Romanian Fourth League Mures,57061192
ACS FC Avrig,FC Avrig,Romania,Romanian Fourth League Sibiu,57061218
CS Viitorul Ulmeni,Viitorul Ulmeni,Romania,Romanian Fourth League Maramures,57110356
AS Capleni,,Romania,Romanian Fourth League Satu Mare,57191027
ACS Viitorul Domnesti,Viitorul Domnesti,Romania,Romanian Fourth League Ilfov,57065176
CSM FC Vaslui,FC Vaslui,Romania,Romanian Fourth League Vaslui,57189540
ACS Vointa Budeasa,Vointa Budeasa,Romania,Romanian Fourth League Arges,57188350
ACS Sportul Chiscani,Sportul Chiscani,Romania,Romanian Fourth League Braila,57065241
ACS Progresul Pecica,Progresul Pecica,Romania,Romanian Third League Group 4,57048456
CS Millenium Giarmata,Giarmata,Romania,Romanian Fourth League Timis,57050300
