ClubName,ClubNameShort,CountryName,LeagueName,ClubFMId
Olteţul Osica,,Romania,Romanian Fourth League Olt,57159182
AFC Comprest GIM,Comprest GIM,Romania,Romanian Fourth League Bucureşti,57048619
CS Avântul Floreşti,Avântul Floreşti,Romania,Romanian Fourth League Giurgiu,57059843
CS Atletic Olimpia Gherla,Atletic Olimpia Gherla,Romania,Romanian Fourth League Cluj,57061150
CS Venus Independenţa,,Romania,Romanian Fourth League Călăraşi,57057211
AS Montana Pătârlagele,Pătârlagele,Romania,Romanian Fourth League Buzău,57065259
CSC Dudeştii Noi,Dudeştii Noi,Romania,Romanian Fourth League Timiş,57191002
AS Voinţa Gârleni,Voinţa Gârleni,Romania,Romanian Fourth League Bacău,57061080
AS Argeşul Hotarele,Hotarele,Romania,Romanian Fourth League Giurgiu,57117759
Unirea Braniştea,,Romania,Romanian Fourth League Galaţi,57057233
ACS Rapid Buchin,Buchin,Romania,Romanian Fourth League Caraş-Severin,57129923
AS Vulturul Măgireşti,Vulturul Măgireşti,Romania,Romanian Fourth League Bacău,57129875
Frohlich Foieni,,Romania,Romanian Fourth League Satu Mare,57068916
AFC Asalt Bucureşti,Asalt Bucureşti,Romania,Romanian Fourth League Bucureşti,57167683
CSM Dacia Orăştie 2010,Dacia Orăştie,Romania,Romanian Fourth League Hunedoara,57065444
AS Înfrăţirea Zoiţa,Zoiţa,Romania,Romanian Fourth League Buzău,57076872
AS Tineretul Morăreni,Tineretul Morăreni,Romania,Romanian Fourth League Harghita,57190796
ACS Astra Plosca,Astra Plosca,Romania,Romanian Fourth League Teleorman,57110375
AS Croaţia Clocotici,Clocotici,Romania,Romanian Fourth League Caraş-Severin,57107738
ACS Socodor,CS Socodor,Romania,Romanian Fourth League Arad,57155360
FC Bolintin Deal,Bolintin Deal,Romania,Romanian Fourth League Giurgiu,57159169
CS Sparta Mediaş,,Romania,Romanian Fourth League Sibiu,57000112
ACS Mureşul Ruşii Munţi,Mureşul Ruşii Munţi,Romania,Romanian Fourth League Mureş,57072305
AS Cetatea Homorod,Cetatea Homorod,Romania,Romanian Fourth League Braşov,57048654
ACS Voinţa Vişani,Vişani,Romania,Romanian Fourth League Brăila,57071640
CS Stejarul Bârnova,Stejarul Bârnova,Romania,Romanian Fourth League Iaşi,57143003
Voinţa Babţa,Babţa,Romania,Romanian Fourth League Satu Mare,57068925
ACS FC Sânsimion,Sânsimion,Romania,Romanian Fourth League Harghita,57142995
FC Lăpuşul Târgu Lăpuş,Lăpuşul,Romania,Romanian Fourth League Maramureş,57065527
AS Recolta Săliştea de Sus,Recolta Săliştea,Romania,Romanian Fourth League Maramureş,57072347
ACS Dunărea Grădiştea,,Romania,Romanian Fourth League Călăraşi,57076787
Real Andrid,,Romania,Romanian Fourth League Satu Mare,57068864
CS Pro Mureşul Topliţa,Pro Mureşul Topliţa,Romania,Romanian Fourth League Harghita,57142991
CS Măneşti 2013 Coada Izvorului,Măneşti,Romania,Romanian Fourth League Prahova,57153920
FC Rapid Brodoc,Rapid Brodoc,Romania,Romanian Fourth League Vaslui,57190748
AS Unirea Ungureni,Unirea Ungureni,Romania,Romanian Fourth League Dâmboviţa,57142947
AFC UTA Arad II,UTA Arad II,Romania,Romanian Fourth League Arad,57127505
AS Progresul Terezian Sibiu,Progresul Terezian,Romania,Romanian Fourth League Sibiu,57086577
Silvania Cehu Silvaniei,Cehu Silvaniei,Romania,Romanian Fourth League Sălaj,57061216
ACS Tricolorul Jegălia,Jegălia,Romania,Romanian Fourth League Călăraşi,57086465
CS Berceni,,Romania,Romanian Fourth League Ilfov,57159067
AS Olimpicii Ulmi,Olimpicii Ulmi,Romania,Romanian Fourth League Dâmboviţa,57170881
CS Glogovăţ 2013,CS Glogovăţ,Romania,Romanian Fourth League Arad,57142864
ACS Avântul Bragadiru,Avântul Bragadiru,Romania,Romanian Fourth League Teleorman,57143071
ACS Gloria Berevoieşti,Gloria Berevoieşti,Romania,Romanian Fourth League Argeş,57142870
ACS Drăgăneşti Vlaşca,Drăgăneşti Vlaşca,Romania,Romanian Fourth League Teleorman,57154235
ACS Raza de Soare Acăţari,Raza de Soare,Romania,Romanian Fourth League Mureş,57143043
Victoria Leţcani,Leţcani,Romania,Romanian Fourth League Iaşi,57107749
CS Podgoria Pâncota,Podgoria Pâncota,Romania,Romanian Fourth League Arad,57169868
AS Recolta Sălcioara,Recolta Sălcioara,Romania,Romanian Fourth League Buzău,57110206
ACS Sovata,,Romania,Romanian Fourth League Mureş,57175454
CS Viitorul Borş,,Romania,Romanian Fourth League Bihor,57082716
FC 2006 Partizan Crivăţ,Crivăţ,Romania,Romanian Fourth League Călăraşi,57076777
CS Păuleşti,,Romania,Romanian Fourth League Prahova,57075298
Oltul Slătioara,,Romania,Romanian Fourth League Olt,57075280
AFC Miceşti,,Romania,Romanian Fourth League Alba,57129838
ACS Prejmer,Prejmer,Romania,Romanian Fourth League Braşov,57119008
Victoria Apa,,Romania,Romanian Fourth League Satu Mare,57121930
AS Covasna,,Romania,Romanian Fourth League Covasna,57110239
CSM Fieni,,Romania,Romanian Fourth League Dâmboviţa,57065313
CS Moldova Nouă,Moldova Nouă,Romania,Romanian Fourth League Caraş-Severin,57009455
AS 2000 Bucecea,Bucecea,Romania,Romanian Fourth League Botoşani,57065203
AS Voinţa Saelele 2017,Voinţa Saelele,Romania,Romanian Fourth League Teleorman,57191036
CS Metalul Peretu,Peretu,Romania,Romanian Fourth League Teleorman,57061224
Stejarul Sineşti,Sineşti,Romania,Romanian Fourth League Iaşi,57053613
AS Sporting Odorheiu Secuiesc,Sporting Odorheiu,Romania,Romanian Fourth League Harghita,57190795
CS Victoria Chirnogi,Chirnogi,Romania,Romanian Fourth League Călăraşi,57053602
CS Păulişana Păuliş,Păulişana Păuliş,Romania,Romanian Fourth League Arad,57034810
CS Eforie,,Romania,Romanian Fourth League Constanţa,57031920
Someşul Someş Odorhei,,Romania,Romanian Fourth League Sălaj,57191017
ACS Nemere Ghelinţa,Nemere,Romania,Romanian Fourth League Covasna,57061163
AS Unirea Şişeşti,Unirea Şişeşti,Romania,Romanian Fourth League Maramureş,57072314
Gloria Bălţaţi,Bălţaţi,Romania,Romanian Fourth League Iaşi,57061183
AS Viitorul Vama Seacă,Viitorul Vama Seacă,Romania,Romanian Fourth League Alba,57188099
Muncitorul Ghidigeni,Ghidigeni,Romania,Romanian Fourth League Galaţi,57065321
CS Ineu,,Romania,Romanian Fourth League Arad,7542202
CSM Dierna Orşova,Dierna Orşova,Romania,Romanian Fourth League Mehedinţi,57050199
Viitorul Hârlău,,Romania,Romanian Fourth League Iaşi,57049859
CSM Feteşti,,Romania,Romanian Fourth League Ialomiţa,57190800
Quantum Club Galaţi,Quantum Galaţi,Romania,Romanian Fourth League Galaţi,57110288
AS Negri,,Romania,Romanian Fourth League Bacău,57061084
FC Vultureşti,,Romania,Romanian Fourth League Vaslui,57190750
ACS Victoria Bucureşti,Victoria Bucureşti,Romania,Romanian Fourth League Bucureşti,57121530
AS Filipeşti,,Romania,Romanian Fourth League Bacău,57061077
CS Chimia Oraşul Victoria,Oraşul Victoria,Romania,Romanian Fourth League Braşov,57116099
ACS Roseţi,Roseţi,Romania,Romanian Fourth League Călăraşi,57057213
CS Bradul Zetea,Bradul Zetea,Romania,Romanian Fourth League Harghita,57190793
Viitorul Osica de Jos,Osica de Jos,Romania,Romanian Fourth League Olt,57172626
AFC Progresul Fundulea,Fundulea,Romania,Romanian Fourth League Călăraşi,57059836
FC 2007 Gârceni,Gârceni,Romania,Romanian Fourth League Vaslui,57057280
AS Măgura Caşin,Caşin,Romania,Romanian Fourth League Bacău,57107702
Viitorul Grădinile,,Romania,Romanian Fourth League Olt,57065271
CS Tomeşti,Tomeşti,Romania,Romanian Fourth League Iaşi,57072169
AS Zorile Moisei,Zorile Moisei,Romania,Romanian Fourth League Maramureş,57072329
AS Perko Sânzieni,Perko Sânzieni,Romania,Romanian Fourth League Covasna,57071805
ACS Şoimii Şimand,Şoimii Şimand,Romania,Romanian Fourth League Arad,57142866
CSO Ovidiu,,Romania,Romanian Fourth League Constanţa,57000248
ACS Progresul Mătăsaru,Progresul Mătăsaru,Romania,Romanian Fourth League Dâmboviţa,57142955
Viitorul Rusăneşti,,Romania,Romanian Fourth League Olt,57075278
CS Unirea Sânnicolau Mare,Sânnicolau Mare,Romania,Romanian Fourth League Timiş,7542455
AS Atletic Tîrgu Mureş,Atletic Tîrgu Mureş,Romania,Romanian Fourth League Mureş,57143039
AS Phoenix Poşta Câlnău,Poşta Câlnău,Romania,Romanian Fourth League Buzău,57061114
ACS Unirea Amărăştii de Jos,Amărăştii de Jos,Romania,Romanian Fourth League Dolj,57190462
ACS Spicul Daia Română,Spicul Daia Română,Romania,Romanian Fourth League Alba,57142860
AS Victoria Vatra Moldoviţei,Vatra Moldoviţei,Romania,Romanian Fourth League Suceava,57129934
CSA Axiopolis Sport Cernavodă II,Axiopolis II,Romania,Romanian Fourth League Constanţa,57190301
AS Sportul Voineşti 2016,Sportul Voineşti,Romania,Romanian Fourth League Dâmboviţa,57190460
CS Novaci,,Romania,Romanian Fourth League Gorj,57159174
FC Someşul Gilău,Someşul Gilău,Romania,Romanian Fourth League Cluj,57057217
AS Progresul 1906 Ciacova,Ciacova,Romania,Romanian Fourth League Timiş,57154435
Victoria Tecuci,,Romania,Romanian Fourth League Galaţi,57050255
AFC Iazu,,Romania,Romanian Fourth League Ialomiţa,57174510
ACS Viitorul Şuţeşti,Şuţeşti,Romania,Romanian Fourth League Brăila,57086429
AS Livada,,Romania,Romanian Fourth League Satu Mare,57068868
AS Victoria Lunca,Victoria Lunca,Romania,Romanian Fourth League Teleorman,57191038
AS Moldova Drăguşeni,Moldova Drăguşeni,Romania,Romanian Fourth League Suceava,57080185
ACS Unirea Tritenii de Jos,Unirea Triteni,Romania,Romanian Fourth League Cluj,57065299
ACS Maxima Hobaia,Maxima Hobaia,Romania,Romanian Fourth League Giurgiu,57190753
ACS Nicolae Linca Cergău,Nicolae Linca Cergău,Romania,Romanian Fourth League Alba,57188098
CS Ciurea,,Romania,Romanian Fourth League Iaşi,57061181
Progresul Deleni,,Romania,Romanian Fourth League Iaşi,57188333
Avântul Măneciu,,Romania,Romanian Fourth League Prahova,57061204
ACS Academia de Fotbal Muscelul,Muscelul Câmpulung,Romania,Romanian Fourth League Argeş,57207224
AS Voinţa Vişina,,Romania,Romanian Fourth League Dâmboviţa,57190459
AS Zorile Faraoani,,Romania,Romanian Fourth League Bacău,57189778
ACS Progresul Ezeriş,Progresul Ezeriş,Romania,Romanian Fourth League Caraş-Severin,57190062
ACS Sândominic,Sândominic,Romania,Romanian Fourth League Harghita,57190787
CSM Alexandria II,,Romania,Romanian Fourth League Teleorman,57168341
CSM Sighişoara,,Romania,Romanian Fourth League Mureş,57189761
AFC Victoria Pleniţa,Victoria Pleniţa,Romania,Romanian Fourth League Dolj,57174931
CS FC Suciu de Sus,Suciu de Sus,Romania,Romanian Fourth League Maramureş,57175434
ACS Vulturul Mintiu-Gherlii,Mintiu Gherlii,Romania,Romanian Fourth League Cluj,57065302
Dacia Medieşu Aurit,,Romania,Romanian Fourth League Satu Mare,57061211
CS Jariştea,Jariştea,Romania,Romanian Fourth League Vrancea,57061229
AS Homorod Mereşti,Mereşti,Romania,Romanian Fourth League Harghita,57072002
ACS Viitorul Însurăţei,Viitorul Însurăţei,Romania,Romanian Fourth League Brăila,57000247
CSC Suseni,Suseni,Romania,Romanian Fourth League Argeş,57061073
AS Steaua Radovanu,Radovanu,Romania,Romanian Fourth League Călăraşi,57059835
CS Viitorul Curcani,,Romania,Romanian Fourth League Călăraşi,57057209
AS Metalul Bocşa,Metalul Bocşa,Romania,Romanian Fourth League Caraş-Severin,57050101
FC Unirea Scânteia,,Romania,Romanian Fourth League Iaşi,57155348
AS Spicul Vâlcelele,,Romania,Romanian Fourth League Călăraşi,57155991
CSC Crişul Sântandrei,Crişul Sântandrei,Romania,Romanian Fourth League Bihor,57082720
ACS Gloria Zemeş,Gloria Zemeş,Romania,Romanian Fourth League Bacău,57116083
CS Oşorhei,,Romania,Romanian Fourth League Bihor,57102777
CS Agyagfalvi Lendület Lutiţa,Lutiţa,Romania,Romanian Fourth League Harghita,57190797
CS Metalul Vlăhiţa,Metalul Vlăhiţa,Romania,Romanian Fourth League Harghita,57059845
AS Unirea Bucşani,Unirea Bucşani,Romania,Romanian Fourth League Dâmboviţa,57171303
AS Unirea Colibaşi,Unirea Colibaşi,Romania,Romanian Fourth League Dâmboviţa,57171295
AS Viitorul Buteşti,Viitorul Buteşti,Romania,Romanian Fourth League Teleorman,57168347
CS Diosig Bihardioszeg,Diosig,Romania,Romanian Fourth League Bihor,57142882
AS Seceani,Seceani,Romania,Romanian Fourth League Timiş,57154436
CS Unirea Valea lui Mihai,Unirea Valea lui Mihai,Romania,Romanian Fourth League Bihor,57048105
CS Minerul Bălan,Minerul Bălan,Romania,Romanian Fourth League Harghita,57142993
ACS Costeşti,,Romania,Romanian Fourth League Argeş,57188349
Schwaben Kalmandi Cămin,,Romania,Romanian Fourth League Satu Mare,57068929
Recolta Sanislău,,Romania,Romanian Fourth League Satu Mare,57068922
AS Luceafărul Trestieni,Luceafărul Trestieni,Romania,Romanian Fourth League Giurgiu,57117767
CS Unirea Izvoarele,Unirea Izvoarele,Romania,Romanian Fourth League Giurgiu,57117747
CS Parângul Bumbeşti-Jiu,Parângul Bumbeşti-Jiu,Romania,Romanian Fourth League Gorj,57061178
AS LSS Voinţa Sibiu,LSS Voinţa,Romania,Romanian Fourth League Sibiu,57114225
LPS Suceava,,Romania,Romanian Fourth League Suceava,57161653
Unirea Păuleşti,,Romania,Romanian Fourth League Satu Mare,57068896
ATSC Reci,Reci,Romania,Romanian Fourth League Covasna,57156894
AS Viitorul Tîntava,Tîntava,Romania,Romanian Fourth League Giurgiu,57142979
AFC Agnita,,Romania,Romanian Fourth League Sibiu,57061219
ACS Ardealul Crişeni,Ardealul Crişeni,Romania,Romanian Fourth League Sălaj,57065581
AS Iza Dragomireşti,Iza,Romania,Romanian Fourth League Maramureş,57065531
FC Victoria Lehliu,,Romania,Romanian Fourth League Călăraşi,57061148
Tinereţea Izvoarele,,Romania,Romanian Fourth League Prahova,57075294
AS Unirea Dragalina,,Romania,Romanian Fourth League Călăraşi,57076761
Moldova Cordun,Cordun,Romania,Romanian Fourth League Neamţ,57072389
Farul Tuzla,,Romania,Romanian Fourth League Constanţa,57061160
AS Energia Săsciori,Săsciori,Romania,Romanian Fourth League Alba,57105161
AS Luceafărul Dragomireşti,Luceafărul Dragomireşti,Romania,Romanian Fourth League Dâmboviţa,57110277
CS Progresul Segarcea,Segarcea,Romania,Romanian Fourth League Dolj,57061169
Venus Dumbrava,,Romania,Romanian Fourth League Satu Mare,57191023
AS Aripile Braşov,Aripile Braşov,Romania,Romanian Fourth League Braşov,57031062
Petrolul 95 Ploieşti,Petrolul 95,Romania,Romanian Fourth League Prahova,57030984
CS Victoria Vînju Mare,Victoria Vînju Mare,Romania,Romanian Fourth League Mehedinţi,57191011
CS Navobi Alba Iulia,CS Navobi,Romania,Romanian Fourth League Alba,57188097
Unirea Embrak Livada,,Romania,Romanian Fourth League Bihor,57155761
Unirea Urlaţi,,Romania,Romanian Fourth League Prahova,57075296
ASFC Viitorul Berca,Viitorul Berca,Romania,Romanian Fourth League Buzău,57189815
CS Fărcaşa,,Romania,Romanian Fourth League Maramureş,57065529
ASO Deta,,Romania,Romanian Fourth League Timiş,57065623
Victoria Independenţa,,Romania,Romanian Fourth League Galaţi,57065338
CS Someşul Oar,Someşul Oar,Romania,Romanian Fourth League Satu Mare,57061214
AS Unirea Săveni,Unirea Săveni,Romania,Romanian Fourth League Botoşani,57065201
ACS Rapid Ungureni,Rapid Ungureni,Romania,Romanian Fourth League Botoşani,57065209
AFC Băbeni,,Romania,Romanian Fourth League Vâlcea,57065637
CS Zmeii Ogrezeni,Zmeii Ogrezeni,Romania,Romanian Fourth League Giurgiu,57071970
Trotuşul Rugineşti,Rugineşti,Romania,Romanian Fourth League Vrancea,57065651
ACS Unirea Politehnica Bucureşti,Unirea Poli Bucureşti,Romania,Romanian Fourth League Bucureşti,57188319
ACS Supporter 2.0 Cluj-Napoca,Supporter 2.0,Romania,Romanian Fourth League Cluj,57188383
Voinţa Cudalbi 2015,Voinţa Cudalbi,Romania,Romanian Fourth League Galaţi,57190464
AS Peciu Nou,Peciu Nou,Romania,Romanian Fourth League Timiş,57050302
ACS Viitorul Ungheni,Viitorul Ungheni,Romania,Romanian Fourth League Mureş,57117785
CS Victoria Felnac,Victoria Felnac,Romania,Romanian Fourth League Arad,57142865
ACS Recolta Ostroveni,Ostroveni,Romania,Romanian Fourth League Dolj,57054962
ACS Sâncrai Nazna,Sâncrai Nazna,Romania,Romanian Fourth League Mureş,57110361
CS Portul Constanţa,Portul Constanţa,Romania,Romanian Fourth League Constanţa,7544887
Unirea Pişcolt,,Romania,Romanian Fourth League Satu Mare,57068934
Olimpic Bocşa,,Romania,Romanian Fourth League Sălaj,57119878
AFC Rapid,,Romania,Romanian Fourth League Bucureşti,57161240
ACS Petrolul Roata,Petrolul Roata,Romania,Romanian Fourth League Giurgiu,57117765
AS Spicul Izvoru,Spicul Izvoru,Romania,Romanian Fourth League Giurgiu,57065369
AS Voinţa Slobozia,Voinţa Slobozia,Romania,Romanian Fourth League Giurgiu,57065383
AS 2017 Slatina Timiş,Slatina Timiş,Romania,Romanian Fourth League Caraş-Severin,57190060
CS Timişul Şag,Timişul Şag,Romania,Romanian Fourth League Timiş,57050303
AS Harghita Aita Mare,Aita Mare,Romania,Romanian Fourth League Covasna,57142941
AS Iepureşti,,Romania,Romanian Fourth League Giurgiu,57175263
AS CS Cetate 800 Ardud,Cetate Ardud,Romania,Romanian Fourth League Satu Mare,57088308
FC Metaloglobus Bucureşti II,Metaloglobus II,Romania,Romanian Fourth League Bucureşti,57088032
ACS Viitorul Băleasa,Viitorul Băleasa,Romania,Romanian Fourth League Olt,57191015
Voinţa Schitu,,Romania,Romanian Fourth League Olt,57191016
CS Amara,,Romania,Romanian Fourth League Ialomiţa,57057241
ACS Bradul Vişeu de Sus,Bradul Vişeu,Romania,Romanian Fourth League Maramureş,57072344
AS Inter Salcia,Inter Salcia,Romania,Romanian Fourth League Mehedinţi,57175127
ASC Sărmaşu 2005,,Romania,Romanian Fourth League Mureş,57065513
Unirea Ion Roată,,Romania,Romanian Fourth League Ialomiţa,57065461
AS Viitorul Negomir,Viitorul Negomir,Romania,Romanian Fourth League Gorj,57065425
AS Silver Inter Zorile,Inter Zorile,Romania,Romanian Fourth League Giurgiu,57065385
AS Dunărea Oinacu,Dunărea Oinacu,Romania,Romanian Fourth League Giurgiu,57065354
CS Rapid Clejani,Rapid Clejani,Romania,Romanian Fourth League Giurgiu,57071977
AS Progresul Sita Buzăului,Sita Buzăului,Romania,Romanian Fourth League Covasna,57071815
AS Avântul Ilieni,Avântul Ilieni,Romania,Romanian Fourth League Covasna,57071809
AS Chieşd,,Romania,Romanian Fourth League Sălaj,57065573
Voinţa Lazuri,,Romania,Romanian Fourth League Satu Mare,57068890
ACS Campionii FC Argeş II,FC Argeş II,Romania,Romanian Fourth League Argeş,57002816
ACS Minerul Uricani,Minerul Uricani,Romania,Romanian Fourth League Hunedoara,57000254
Ştiinţa ACALAB Poarta Albă,Poarta Albă,Romania,Romanian Fourth League Constanţa,57061156
ACS Locomotiva Buzău,Locomotiva Buzău,Romania,Romanian Fourth League Buzău,57061112
ACS Miercurea Nirajului,Miercurea Nirajului,Romania,Romanian Fourth League Mureş,57048026
Avântul Vânători,,Romania,Romanian Fourth League Galaţi,57059838
ACS Voinţa Maşloc,Maşloc,Romania,Romanian Fourth League Timiş,57126697
AS Unirea Cosoba,Unirea Cosoba,Romania,Romanian Fourth League Giurgiu,57117769
ACS Recolta Fântânele,Recolta Fântânele,Romania,Romanian Fourth League Suceava,57143069
ACS Bradul Groşii Ţibleşului,Groşii Ţibleşului,Romania,Romanian Fourth League Maramureş,57110354
Sporting Bârlad,,Romania,Romanian Fourth League Vaslui,57159526
AS Ghenci,,Romania,Romanian Fourth League Satu Mare,57191029
AS Unirea Moşteni,Unirea Moşteni,Romania,Romanian Fourth League Teleorman,57191037
Viitorul Lucăceni,,Romania,Romanian Fourth League Satu Mare,57191028
AS Şoimii Oţelu Roşu 2015,Oţelu Roşu,Romania,Romanian Fourth League Caraş-Severin,57190061
AS Podul Doamnei,Podul Doamnei,Romania,Romanian Fourth League Giurgiu,57190752
CS Cocoşul Orţişoara,Cocoşul,Romania,Romanian Fourth League Timiş,57113844
AS Flacăra 1907 Flămânzi,Flacăra Flămânzi,Romania,Romanian Fourth League Botoşani,57086423
AS Ileanda,,Romania,Romanian Fourth League Sălaj,57075245
Stăruinţa Berveni,,Romania,Romanian Fourth League Satu Mare,57068919
CS Dofteana,,Romania,Romanian Fourth League Bacău,57069385
AS Prosport Vârfu Câmpului,Prosport Vf. Câmpului,Romania,Romanian Fourth League Botoşani,57065207
AS Romprim,Romprim,Romania,Romanian Fourth League Bucureşti,57048651
AS Cosniciu,,Romania,Romanian Fourth League Sălaj,57191018
Victoria Zimbrul Bordeasca,,Romania,Romanian Fourth League Vrancea,57191041
AS Bradu,,Romania,Romanian Fourth League Sibiu,57175600
AS Strejnic,,Romania,Romanian Fourth League Prahova,57189667
CS Unirea Griviţa,Unirea Griviţa,Romania,Romanian Fourth League Ialomiţa,57072041
AFCS Carpaţi Berivoi,Berivoi,Romania,Romanian Fourth League Braşov,57065213
AS FC Cernat,FC Cernat,Romania,Romanian Fourth League Covasna,57071811
AS Juventus Bascov,Juventus Bascov,Romania,Romanian Fourth League Argeş,57015201
Crişul Aleşd,,Romania,Romanian Fourth League Bihor,57048721
AS Bârsăneşti,,Romania,Romanian Fourth League Bacău,57189772
AS Avântul Baia-de-Fier,Avântul Baia-de-Fier,Romania,Romanian Fourth League Gorj,57061174
ASFC Breţcu,FC Breţcu,Romania,Romanian Fourth League Covasna,57061164
ACS Comunal Cazasu,Cazasu,Romania,Romanian Fourth League Brăila,57061106
CS Recolta Gheorghe Lazăr 2017,Recolta Gheorghe Lazăr,Romania,Romanian Fourth League Ialomiţa,57057237
AS Real Colibaşi,Real Colibaşi,Romania,Romanian Fourth League Giurgiu,57117763
ACS Basarabi Curtea de Argeş,Basarabi Curtea de Argeş,Romania,Romanian Fourth League Argeş,57154113
FC Universitatea Oradea,Universitatea Oradea,Romania,Romanian Fourth League Bihor,57129914
CSM Jiul Petroşani,Jiul,Romania,Romanian Fourth League Hunedoara,1300956
ACS Homocea,Homocea,Romania,Romanian Fourth League Vrancea,57061232
AS Şoimii Siriu,Siriu,Romania,Romanian Fourth League Buzău,57065250
AS Viitorul Vedea,Viitorul Vedea,Romania,Romanian Fourth League Giurgiu,57065373
Sportul Botiz,,Romania,Romanian Fourth League Satu Mare,57068886
AS Siretul Bacău,Siretul Bacău,Romania,Romanian Fourth League Bacău,57069389
AS CFR Dej,CFR Dej,Romania,Romanian Fourth League Cluj,57071755
CS Mihail Kogălniceanu,Mihail Kogălniceanu,Romania,Romanian Fourth League Constanţa,57071783
Agrostar Tuluceşti,,Romania,Romanian Fourth League Galaţi,57175026
AS Spicul Şeica Mare,,Romania,Romanian Fourth League Sibiu,57175605
AS Viitorul Urecheşti,,Romania,Romanian Fourth League Bacău,57189773
AS Ezüstfenyő Ciceu,Ezüstfenyő Ciceu,Romania,Romanian Fourth League Harghita,57190788
AS Obîrşia de Câmp,Obîrşia de Câmp,Romania,Romanian Fourth League Mehedinţi,57191012
AS Diadema Gherăseni,Gherăseni,Romania,Romanian Fourth League Buzău,57110198
Avântul Drăgăneşti,,Romania,Romanian Fourth League Galaţi,57110289
LPS Cetate Deva II,Cetate Deva II,Romania,Romanian Fourth League Hunedoara,57142997
AS Beroe Ostrov,Beroe Ostrov,Romania,Romanian Fourth League Tulcea,57143075
AS Andycom Avrămeşti,Andycom Avrămeşti,Romania,Romanian Fourth League Harghita,57190799
AS Recolta Blăjani,,Romania,Romanian Fourth League Buzău,57189814
Viitorul Vetiş,,Romania,Romanian Fourth League Satu Mare,57068931
AS Someşul Feldru 1954,Someşul Feldru,Romania,Romanian Fourth League Bistriţa-Năsăud,57071584
Voinţa Şendriceni,Şendriceni,Romania,Romanian Fourth League Botoşani,57065161
CS Bastya Lăzarea,Bastya Lăzarea,Romania,Romanian Fourth League Harghita,57159184
FC Olt Scorniceşti,,Romania,Romanian Fourth League Olt,57159178
AS Aripile Cleja,Aripile Cleja,Romania,Romanian Fourth League Bacău,57155760
CS Mădăras,Mădăras,Romania,Romanian Fourth League Bihor,57142884
ACS Progresul 2012 Dumbrăviţa,Progresul Dumbrăviţa,Romania,Romanian Fourth League Maramureş,57143025
CSC Dumbrăveni,Dumbrăveni,Romania,Romanian Fourth League Vrancea,57110166
CSO Ştei,,Romania,Romanian Fourth League Bihor,57082714
ACS Voinţa Doba,,Romania,Romanian Fourth League Satu Mare,57068894
AS FC Tălmaciu,,Romania,Romanian Fourth League Sibiu,57065585
Recolta Bărcăneşti,,Romania,Romanian Fourth League Ialomiţa,57065473
AS Minerul II Mătăsari,Minerul II Mătăsari,Romania,Romanian Fourth League Gorj,57061176
Viitorul Costache Negri,,Romania,Romanian Fourth League Galaţi,57086494
ASCSC Orleşti,Voinţa Orleşti,Romania,Romanian Fourth League Vâlcea,57072520
ASFC Real Teaca,Real Teaca,Romania,Romanian Fourth League Bistriţa-Năsăud,57189812
AS Flacăra Văculeşti,,Romania,Romanian Fourth League Botoşani,57189801
AS Prietenii Rupea,Prietenii Rupea,Romania,Romanian Fourth League Braşov,57142905
AS Sportivul Truşeşti,Truşeşti,Romania,Romanian Fourth League Botoşani,57071625
CS Zimbru Siret,Zimbru Siret,Romania,Romanian Fourth League Suceava,57066730
ACS Flacăra Moţăţei,Flacăra Moţăţei,Romania,Romanian Fourth League Dolj,57171059
AS Remeţi,,Romania,Romanian Fourth League Maramureş,57110350
ACS Pandurii Tudor Vladimirescu,Tudor Vladimirescu,Romania,Romanian Fourth League Brăila,57109947
AS Gloria Comana,Gloria Comana,Romania,Romanian Fourth League Giurgiu,57065371
ACS Nera Bozovici,Nera Bozovici,Romania,Romanian Fourth League Caraş-Severin,57050213
Dinamo Tătăranu,,Romania,Romanian Fourth League Vrancea,57072438
ACS Salina Ocna Şugatag,Ocna Şugatag,Romania,Romanian Fourth League Maramureş,57072335
AS Săhăteni Vintileanca,,Romania,Romanian Fourth League Buzău,57189813
Recolta Stoicăneşti,,Romania,Romanian Fourth League Olt,57075260
CS Bihorul Beiuş,Beiuş,Romania,Romanian Fourth League Bihor,57000108
CS Viitorul Cujmir,Viitorul Cujmir,Romania,Romanian Fourth League Mehedinţi,57065490
AS Nistru,,Romania,Romanian Fourth League Maramureş,57190801
AS Amatorii Rarău,Amatorii Rarău,Romania,Romanian Fourth League Suceava,57191032
AS Foresta Armeniş,Foresta Armeniş,Romania,Romanian Fourth League Caraş-Severin,57172796
AS Turnu Severin,,Romania,Romanian Fourth League Mehedinţi,57145021
CSM Olimpia Salonta,Olimpia Salonta,Romania,Romanian Fourth League Bihor,57116091
AS Ştiinţa Flacăra Roşia de Amaradia,Roşia de Amaradia,Romania,Romanian Fourth League Gorj,57065421
AS Fraternitas Tălmaciu,,Romania,Romanian Fourth League Sibiu,57211620
Cetatea Gidinţi,,Romania,Romanian Fourth League Neamţ,57211672
Voinţa Bozieni,,Romania,Romanian Fourth League Neamţ,57211671
AS Leii Şura Mică,,Romania,Romanian Fourth League Sibiu,57211621
ACS Viitorul Şelimbăr II,Viitorul Şelimbăr II,Romania,Romanian Fourth League Sibiu,57211618
