ClubName,ClubNameShort,CountryName,LeagueName,ClubFMId
CSM Focşani 2007,CSM Focşani,Romania,Romanian Third League Group 1,7540044
CS Făurei,,Romania,Romanian Third League Group 2,57065245
CS Minaur Baia Mare,Minaur Baia Mare,Romania,Romanian Third League Group 5,57175414
CSM Paşcani,,Romania,Romanian Third League Group 1,57049834
CSC Ghiroda şi Giarmata Vii,CSC Ghiroda,Romania,Romanian Third League Group 4,57107762
ACS Flacăra Horezu,Flacăra Horezu,Romania,Romanian Third League Group 4,57065639
CSA Axiopolis Sport Cernavodă,Axiopolis Cernavodă,Romania,Romanian Third League Group 2,57061158
ACS Vediţa Coloneşti M.S.,Vediţa Coloneşti,Romania,Romanian Third League Group 3,57129123
AFC Odorheiu Secuiesc,Odorheiu Secuiesc,Romania,Romanian Third League Group 5,57062710
CS Hunedoara,,Romania,Romanian Third League Group 4,57153289
ACS Unirea Bascov,Unirea Bascov,Romania,Romanian Third League Group 3,57127415
CS Medgidia,,Romania,Romanian Third League Group 2,57174838
ACS SR Municipal Braşov,SR Braşov,Romania,Romanian Third League Group 3,57172393
ACS Sticla Arieşul Turda,Sticla Arieşul,Romania,Romanian Third League Group 5,57031221
AS FC Pucioasa,FC Pucioasa,Romania,Romanian Third League Group 3,57080814
AS Fortuna Becicherecu Mic,Fortuna Becicherecu Mic,Romania,Romanian Third League Group 4,57154460
FC Unirea Dej,Unirea Dej,Romania,Romanian Third League Group 5,7542454
SCM Zalău,,Romania,Romanian Third League Group 5,57207780
AFC Botoşani II,Botoşani II,Romania,Romanian Third League Group 1,57000095
CS Crişul Chişineu Criş,Crişul Chişineu Criş,Romania,Romanian Third League Group 4,57048447
FC Ozana Târgu Neamţ,Ozana Târgu Neamţ,Romania,Romanian Third League Group 1,57190089
ACS Şomuz Fălticeni,Şomuz Fălticeni,Romania,Romanian Third League Group 1,57121813
ACS Mostiştea Ulmu,Mostiştea Ulmu,Romania,Romanian Third League Group 2,57174375
CSC Sânmartin,,Romania,Romanian Third League Group 5,57069271
CS Sporting Roşiori 2008,Sporting Roşiori,Romania,Romanian Third League Group 3,57048718
CS Viitorul Dăeşti,Viitorul Dăeşti,Romania,Romanian Third League Group 4,57121993
CS Blejoi,,Romania,Romanian Third League Group 3,57080965
CS Viitorul Ianca,Viitorul Ianca,Romania,Romanian Third League Group 2,57048678
CSM Bacău,,Romania,Romanian Third League Group 1,57189775
ACS Universitatea Dunărea de Jos Galaţi,CS U Galaţi,Romania,Romanian Third League Group 1,57174956
CS Gilortul Târgu Cărbuneşti,Gilortul Târgu Cărbuneşti,Romania,Romanian Third League Group 4,7540072
CS Poseidon 2 Mai Limanu,Poseidon Limanu,Romania,Romanian Third League Group 2,57190300
ACS Tractorul Cetate,Tractorul Cetate,Romania,Romanian Third League Group 3,57142959
ACS Viitorul Şelimbăr,Viitorul Şelimbăr,Romania,Romanian Third League Group 5,57159498
ACS Huşana Huşi,Huşana Huşi,Romania,Romanian Third League Group 1,57174325
ACS Recolta Gheorghe Doja,Recolta Gheorghe Doja,Romania,Romanian Third League Group 2,57072054
Energia Negreşti,,Romania,Romanian Fourth League Satu Mare,7542203
CSM Râmnicu Sărat,,Romania,Romanian Fourth League Buzău,7543265
CS Strehaia,,Romania,Romanian Fourth League Mehedinţi,57065486
ACS Floreşti,,Romania,Romanian Fourth League Cluj,57156430
Unirea 08 Tăşnad,Unirea Tăşnad,Romania,Romanian Fourth League Satu Mare,57068914
CSO Viitorul Liteni,Liteni,Romania,Romanian Fourth League Suceava,57061221
AFC Viitorul Albeşti,Viitorul Albeşti,Romania,Romanian Fourth League Botoşani,57048644
Talna Oraşu Nou,Oraşu Nou,Romania,Romanian Fourth League Satu Mare,57068880
ACS Pescăruşul Sarichioi Junior,Sarichioi,Romania,Romanian Fourth League Tulcea,57065631
CS Iernut,,Romania,Romanian Fourth League Mureş,57061192
ACS FC Avrig,FC Avrig,Romania,Romanian Fourth League Sibiu,57061218
CS Viitorul Ulmeni,Viitorul Ulmeni,Romania,Romanian Fourth League Maramureş,57110356
AS Căpleni,,Romania,Romanian Fourth League Satu Mare,57191027
ACS Viitorul Domneşti,Viitorul Domneşti,Romania,Romanian Fourth League Ilfov,57065176
CSM FC Vaslui,FC Vaslui,Romania,Romanian Fourth League Vaslui,57189540
ACS Voinţa Budeasa,Voinţa Budeasa,Romania,Romanian Fourth League Argeş,57188350
ACS Sportul Chiscani,Sportul Chiscani,Romania,Romanian Fourth League Brăila,57065241
ACS Progresul Pecica,Progresul Pecica,Romania,Romanian Third League Group 4,57048456
CS Millenium Giarmata,Giarmata,Romania,Romanian Fourth League Timiş,57050300
CSM Satu Mare,,Romania,Romanian Fourth League Satu Mare,57191025
CS Argeşul 2009 Mihăileşti,Argeşul Mihăileşti,Romania,Romanian Fourth League Giurgiu,57050228
CS Minerul Rodna,Minerul Rodna,Romania,Romanian Fourth League Bistriţa-Năsăud,57050190
AS Galambfalva Porumbenii Mari,Porumbenii Mari,Romania,Romanian Fourth League Harghita,57190792
CS Speranţa Răuceşti,Răuceşti,Romania,Romanian Fourth League Neamţ,57072372
AFC Hărman,Hărman,Romania,Romanian Fourth League Braşov,57014874
AS Bradu Borca,Bradu Borca,Romania,Romanian Fourth League Neamţ,57121774
ACS Team Săgeata,Team Săgeata,Romania,Romanian Fourth League Buzău,57155990
AS Gloria 2015 Corneşti,Gloria 2015 Corneşti,Romania,Romanian Fourth League Dâmboviţa,57142951
CS Real Bradu,Real Bradu,Romania,Romanian Fourth League Argeş,57172837
ACS Avântul Bârsana,Avântul Bârsana,Romania,Romanian Fourth League Maramureş,57072332
Moldova Cristeşti,,Romania,Romanian Fourth League Iaşi,57171163
CS Dunărea Calafat,Dunărea Calafat,Romania,Romanian Fourth League Dolj,57002787
AFC Voinţa Lupac,Lupac,Romania,Romanian Fourth League Caraş-Severin,57048156
CS Gheorgheni - VSK Gheorgheni,Gheorgheni,Romania,Romanian Fourth League Harghita,57175106
CS Ocna Mureş,Ocna Mureş,Romania,Romanian Fourth League Alba,57036170
ACSM Olteniţa,CSM Olteniţa,Romania,Romanian Fourth League Călăraşi,57086449
CSO Retezatul Haţeg,Retezatul,Romania,Romanian Fourth League Hunedoara,57048072
ASC Olimpic Zărneşti,ASC Zărneşti,Romania,Romanian Fourth League Braşov,57071671
AS Viitorul Curiţa,Viitorul Curiţa,Romania,Romanian Fourth League Bacău,57142874
CSM Lugoj,,Romania,Romanian Fourth League Timiş,57141893
CS Măgurele,,Romania,Romanian Fourth League Ilfov,57175323
ACSO Viitorul Pantelimon,Viitorul Pantelimon,Romania,Romanian Fourth League Ilfov,57175353
ACS FC Păpăuţi,FC Păpăuţi,Romania,Romanian Fourth League Covasna,57061162
ACS Ştiinţa Turceni,Turceni,Romania,Romanian Fourth League Gorj,57061175
ACS Viitorul Dragomireşti Vale,Viitorul Dragomireşti,Romania,Romanian Fourth League Ilfov,57061179
AS Recolta Gura Şuţii,Recolta Gura Şuţii,Romania,Romanian Fourth League Dâmboviţa,57071933
Unirea Mirceşti,,Romania,Romanian Fourth League Iaşi,57072165
CSA Steaua Bucureşti,CSA Steaua,Romania,Romanian Fourth League Bucureşti,57141891
AS Flacăra Erbiceni,Erbiceni,Romania,Romanian Fourth League Iaşi,57152150
CS Progresul Năsăud,Progresul Năsăud,Romania,Romanian Fourth League Bistriţa-Năsăud,57048710
